Reading in data from ../common/square.input
Number of particles: 225
Number of vertices: 4
xmin -7.5 xmax 7.5
ymin -7.5 ymax 7.5
Found 225 particles with maximum number of 4 vertices
Created simulation cell 15.0 by 15.0


Starting ACO with 32 ants 8 threads  alpha=1.0 beta=2.0 evap=0.9
Step 102/10000 best energy 673.0 ant 24 missing vert 0.0
Step 103/10000 best energy 714.0 ant 19 missing vert 0.0
Step 104/10000 best energy 698.0 ant 13 missing vert 0.0
Step 105/10000 best energy 660.0 ant 7 missing vert 0.0
Step 106/10000 best energy 679.0 ant 17 missing vert 0.0
Step 107/10000 best energy 636.0 ant 11 missing vert 0.0
Step 108/10000 best energy 717.0 ant 7 missing vert 0.0
Step 109/10000 best energy 681.0 ant 28 missing vert 0.0
Step 110/10000 best energy 708.0 ant 23 missing vert 0.0
Step 111/10000 best energy 707.0 ant 31 missing vert 0.0
Step 112/10000 best energy 639.0 ant 4 missing vert 0.0
Step 113/10000 best energy 711.0 ant 25 missing vert 0.0
Step 114/10000 best energy 660.0 ant 26 missing vert 0.0
Step 115/10000 best energy 680.0 ant 23 missing vert 0.0
Step 116/10000 best energy 687.0 ant 25 missing vert 0.0
Step 117/10000 best energy 690.0 ant 21 missing vert 0.0
Step 118/10000 best energy 704.0 ant 13 missing vert 0.0
Step 119/10000 best energy 600.0 ant 19 missing vert 0.0
Step 120/10000 best energy 673.0 ant 9 missing vert 0.0
Step 121/10000 best energy 677.0 ant 4 missing vert 0.0
Step 122/10000 best energy 664.0 ant 5 missing vert 0.0
Step 123/10000 best energy 679.0 ant 2 missing vert 0.0
Step 124/10000 best energy 664.0 ant 28 missing vert 0.0
Step 125/10000 best energy 674.0 ant 13 missing vert 0.0
Step 126/10000 best energy 667.0 ant 13 missing vert 0.0
Step 127/10000 best energy 672.0 ant 25 missing vert 0.0
Step 128/10000 best energy 674.0 ant 16 missing vert 0.0
Step 129/10000 best energy 650.0 ant 24 missing vert 0.0
Step 130/10000 best energy 656.0 ant 20 missing vert 0.0
Step 131/10000 best energy 696.0 ant 8 missing vert 0.0
Step 132/10000 best energy 682.0 ant 25 missing vert 0.0
Step 133/10000 best energy 636.0 ant 4 missing vert 0.0
Step 134/10000 best energy 708.0 ant 7 missing vert 0.0
Step 135/10000 best energy 718.0 ant 11 missing vert 0.0
Step 136/10000 best energy 682.0 ant 9 missing vert 0.0
Step 137/10000 best energy 721.0 ant 3 missing vert 0.0
Step 138/10000 best energy 699.0 ant 6 missing vert 0.0
Step 139/10000 best energy 694.0 ant 14 missing vert 0.0
Step 140/10000 best energy 640.0 ant 23 missing vert 0.0
Step 141/10000 best energy 708.0 ant 9 missing vert 0.0
