Reading in data from ../common/honeycomb.input
Number of particles: 192
Number of vertices: 3
xmin -10.455 xmax 9.225
ymin -13.58 ymax 9.7
Found 192 particles with maximum number of 3 vertices
Created simulation cell 19.68 by 23.28


Starting ACO with 32 ants 8 threads  alpha=1.0 beta=2.0 evap=0.9
Using Scaled Preprocessor
Step 93/200 best energy 643.8362000000006 ant 12 missing vert 0.0
Step 94/200 best energy 653.6842000000001 ant 4 missing vert 0.0
Step 95/200 best energy 794.5938000000016 ant 25 missing vert 0.0
Step 96/200 best energy 643.3747999999998 ant 12 missing vert 0.0
Step 97/200 best energy 599.2174000000001 ant 0 missing vert 0.0
Step 98/200 best energy 584.0161999999997 ant 22 missing vert 0.0
Step 99/200 best energy 575.5481999999996 ant 3 missing vert 0.0
Step 100/200 best energy 670.8284000000014 ant 1 missing vert 0.0
Step 101/200 best energy 602.7106000000001 ant 31 missing vert 0.0
Step 102/200 best energy 673.6304000000014 ant 20 missing vert 0.0
Step 103/200 best energy 583.5427999999997 ant 25 missing vert 0.0
Step 104/200 best energy 676.2670000000006 ant 19 missing vert 0.0
Step 105/200 best energy 581.5263999999997 ant 7 missing vert 0.0
Step 106/200 best energy 611.3182000000003 ant 13 missing vert 0.0
Step 107/200 best energy 753.4062000000029 ant 21 missing vert 0.0
Step 108/200 best energy 542.4881999999991 ant 16 missing vert 0.0
Step 109/200 best energy 555.9947999999993 ant 28 missing vert 0.0
Step 110/200 best energy 690.9238000000012 ant 20 missing vert 0.0
Step 111/200 best energy 555.9947999999993 ant 13 missing vert 0.0
Step 112/200 best energy 605.1908 ant 22 missing vert 0.0
Step 113/200 best energy 535.967999999999 ant 5 missing vert 0.0
Step 114/200 best energy 535.967999999999 ant 10 missing vert 0.0
Step 115/200 best energy 583.5451999999998 ant 27 missing vert 0.0
Step 116/200 best energy 560.5695999999994 ant 2 missing vert 0.0
Step 117/200 best energy 669.202400000001 ant 28 missing vert 0.0
Step 118/200 best energy 663.6146000000006 ant 10 missing vert 0.0
Step 119/200 best energy 672.0778000000005 ant 4 missing vert 0.0
