Reading in data from ../common/honeycomb.input
Number of particles: 192
Number of vertices: 3
xmin -10.455 xmax 9.225
ymin -13.58 ymax 9.7
Found 192 particles with maximum number of 3 vertices
Created simulation cell 19.68 by 23.28


Starting ACO with 32 ants 8 threads  alpha=1.0 beta=2.0 evap=0.9
Step 92/200 best energy 562.0463999999995 ant 0 missing vert 0.0
Step 93/200 best energy 549.4745999999993 ant 11 missing vert 0.0
Step 94/200 best energy 569.1061999999997 ant 10 missing vert 0.0
Step 95/200 best energy 542.4881999999992 ant 12 missing vert 0.0
Step 96/200 best energy 542.4881999999992 ant 5 missing vert 0.0
Step 97/200 best energy 542.4881999999992 ant 30 missing vert 0.0
Step 98/200 best energy 542.4881999999992 ant 10 missing vert 0.0
Step 99/200 best energy 549.4745999999993 ant 2 missing vert 0.0
Step 100/200 best energy 542.4881999999992 ant 10 missing vert 0.0
Step 101/200 best energy 542.4881999999992 ant 4 missing vert 0.0
Step 102/200 best energy 542.4881999999992 ant 4 missing vert 0.0
Step 103/200 best energy 542.4881999999992 ant 10 missing vert 0.0
Step 104/200 best energy 542.4881999999992 ant 2 missing vert 0.0
Step 105/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 106/200 best energy 542.4881999999992 ant 1 missing vert 0.0
Step 107/200 best energy 542.4881999999992 ant 1 missing vert 0.0
Step 108/200 best energy 542.4881999999992 ant 7 missing vert 0.0
Step 109/200 best energy 542.4881999999992 ant 1 missing vert 0.0
Step 110/200 best energy 542.4881999999992 ant 1 missing vert 0.0
Step 111/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 112/200 best energy 542.4881999999992 ant 3 missing vert 0.0
Step 113/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 114/200 best energy 542.4881999999992 ant 1 missing vert 0.0
Step 115/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 116/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 117/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 118/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 119/200 best energy 542.4881999999992 ant 3 missing vert 0.0
Step 120/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 121/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 122/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 123/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 124/200 best energy 542.4881999999992 ant 1 missing vert 0.0
Step 125/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 126/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 127/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 128/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 129/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 130/200 best energy 542.4881999999992 ant 0 missing vert 0.0
Step 131/200 best energy 542.4881999999992 ant 1 missing vert 0.0
